year,timelag,id
1996,31,ME
1997,36,ME
1998,45,ME
1999,25,ME
2000,15,ME
2001,28,ME
2002,28,ME
2003,47,ME
2004,14,ME
2005,41,ME
2006,36,ME
2007,49,ME
2008,31,ME
2009,20,ME
2010,23,ME
2011,17,ME
2012,33,ME
2013,22,ME
2014,37,ME
2015,32,ME
2016,33,ME
2017,12,ME
2018,56,ME
2019,27,ME
2020,15,ME
2021,-6,ME
